k, n, p, q, poverq, eigenvectors, conductance, rand
10, 1000, 0.01, 0.001, 10.0, 1, 0.9943757920159886, 0.7959640084008401
10, 1000, 0.01, 0.001, 10.0, 2, 0.8269892156726788, 0.8924665526552655
10, 1000, 0.01, 0.001, 10.0, 3, 0.17101277336607104, 0.9995924852485247
10, 1000, 0.01, 0.001, 10.0, 4, 0.39571131386757147, 0.988894397439744
10, 1000, 0.01, 0.001, 10.0, 5, 0.22492708916794787, 0.9970921392139214
10, 1000, 0.01, 0.001, 10.0, 6, 0.22808730347955009, 0.996974783478348
10, 1000, 0.01, 0.001, 10.0, 7, 0.1709585010627519, 0.9994847024702469
10, 1000, 0.01, 0.001, 10.0, 8, 0.22791587437817737, 0.9968649164916492
10, 1000, 0.01, 0.001, 10.0, 9, 0.22469389060696754, 0.9966748374837484
10, 1000, 0.01, 0.001, 10.0, 10, 0.22149721384421683, 0.9964156755675567
10, 1000, 0.01, 0.002, 5.0, 1, 0.9824257016670993, 0.7994649844984498
10, 1000, 0.01, 0.002, 5.0, 2, 0.8071494679117167, 0.8934399019901991
10, 1000, 0.01, 0.002, 5.0, 3, 0.3827842382664712, 0.9934177177717771
10, 1000, 0.01, 0.002, 5.0, 4, 0.4330053378430082, 0.9899983398339833
10, 1000, 0.01, 0.002, 5.0, 5, 0.29209617183230074, 0.9986597579757976
10, 1000, 0.01, 0.002, 5.0, 6, 0.41265396338866944, 0.9902983698369837
10, 1000, 0.01, 0.002, 5.0, 7, 0.3811128937941629, 0.9926351175117512
10, 1000, 0.01, 0.002, 5.0, 8, 0.4232813652328741, 0.987840904090409
10, 1000, 0.01, 0.002, 5.0, 9, 0.29213655485334933, 0.9934256325632562
10, 1000, 0.01, 0.002, 5.0, 10, 0.41920692854423247, 0.9828784298429843
10, 1000, 0.01, 0.003, 3.3333333333333335, 1, 0.9896265377759453, 0.7943988378837884
10, 1000, 0.01, 0.003, 3.3333333333333335, 2, 0.7972405908023263, 0.8940885588558857
10, 1000, 0.01, 0.003, 3.3333333333333335, 3, 0.5434996714703162, 0.9872587018701869
10, 1000, 0.01, 0.003, 3.3333333333333335, 4, 0.6095334275335261, 0.9811363636363636
10, 1000, 0.01, 0.003, 3.3333333333333335, 5, 0.4922513309736901, 0.9896245604560457
10, 1000, 0.01, 0.003, 3.3333333333333335, 6, 0.5408599567290814, 0.9846302750275026
10, 1000, 0.01, 0.003, 3.3333333333333335, 7, 0.5359672254187494, 0.9838325452545256
10, 1000, 0.01, 0.003, 3.3333333333333335, 8, 0.5056715897392445, 0.9752940414041404
10, 1000, 0.01, 0.003, 3.3333333333333335, 9, 0.5364043009144093, 0.966600596059606
10, 1000, 0.01, 0.003, 3.3333333333333335, 10, 0.5005481849647736, 0.9660538753875386
10, 1000, 0.01, 0.004, 2.5, 1, 0.9908206690178382, 0.7976192379237924
10, 1000, 0.01, 0.004, 2.5, 2, 0.8028679495587573, 0.8934965876587657
10, 1000, 0.01, 0.004, 2.5, 3, 0.4512965431317471, 0.9981315071507149
10, 1000, 0.01, 0.004, 2.5, 4, 0.5503592688803118, 0.9868840784078408
10, 1000, 0.01, 0.004, 2.5, 5, 0.48208503040327305, 0.9942245224522452
10, 1000, 0.01, 0.004, 2.5, 6, 0.5252787615122548, 0.9846320172017201
10, 1000, 0.01, 0.004, 2.5, 7, 0.502420292323556, 0.9826640624062408
10, 1000, 0.01, 0.004, 2.5, 8, 0.49978939669830974, 0.9777672747274726
10, 1000, 0.01, 0.004, 2.5, 9, 0.5737005145917934, 0.9638643724372435
10, 1000, 0.01, 0.004, 2.5, 10, 0.5371511379517451, 0.9651679327932794
10, 1000, 0.01, 0.005, 2.0, 1, 0.9885534942381741, 0.7956670767076709
10, 1000, 0.01, 0.005, 2.0, 2, 0.8538095423434863, 0.8940009220922092
10, 1000, 0.01, 0.005, 2.0, 3, 0.5711120254997372, 0.9923681468146816
10, 1000, 0.01, 0.005, 2.0, 4, 0.5955324165838256, 0.9852292049204922
10, 1000, 0.01, 0.005, 2.0, 5, 0.5048635556233897, 0.9963624582458246
10, 1000, 0.01, 0.005, 2.0, 6, 0.5882209706777054, 0.97610099809981
10, 1000, 0.01, 0.005, 2.0, 7, 0.5777027239778529, 0.97084401240124
10, 1000, 0.01, 0.005, 2.0, 8, 0.574155586267819, 0.9639993359335932
10, 1000, 0.01, 0.005, 2.0, 9, 0.5942863113682847, 0.9534931173117311
10, 1000, 0.01, 0.005, 2.0, 10, 0.601570322585389, 0.9473792199219924
10, 1000, 0.01, 0.006, 1.6666666666666667, 1, 0.9939741911364978, 0.7866024482448245
10, 1000, 0.01, 0.006, 1.6666666666666667, 2, 0.8413099282306881, 0.8967849224922493
10, 1000, 0.01, 0.006, 1.6666666666666667, 3, 0.5809588945899661, 0.9955698269826982
10, 1000, 0.01, 0.006, 1.6666666666666667, 4, 0.5843618357199538, 0.98969799979998
10, 1000, 0.01, 0.006, 1.6666666666666667, 5, 0.5887007501753476, 0.9902781158115811
10, 1000, 0.01, 0.006, 1.6666666666666667, 6, 0.6086564115966793, 0.9682748674867486
10, 1000, 0.01, 0.006, 1.6666666666666667, 7, 0.5848887893565522, 0.9581308590859086
10, 1000, 0.01, 0.006, 1.6666666666666667, 8, 0.5943463567698086, 0.9502901190119012
10, 1000, 0.01, 0.006, 1.6666666666666667, 9, 0.5650115571955774, 0.9494519591959196
10, 1000, 0.01, 0.006, 1.6666666666666667, 10, 0.616679896193162, 0.9397204880488047
10, 1000, 0.01, 0.007, 1.4285714285714286, 1, 0.9903908469361375, 0.7913150475047506
10, 1000, 0.01, 0.007, 1.4285714285714286, 2, 0.8453761325914584, 0.8970917451745175
10, 1000, 0.01, 0.007, 1.4285714285714286, 3, 0.5883447037682231, 0.9985644544454446
10, 1000, 0.01, 0.007, 1.4285714285714286, 4, 0.636433970484118, 0.9868088408840883
10, 1000, 0.01, 0.007, 1.4285714285714286, 5, 0.585210875733675, 0.9955561636163617
10, 1000, 0.01, 0.007, 1.4285714285714286, 6, 0.6625864185345175, 0.9563746954695469
10, 1000, 0.01, 0.007, 1.4285714285714286, 7, 0.6058488341390289, 0.9415014581458145
10, 1000, 0.01, 0.007, 1.4285714285714286, 8, 0.6021208766059976, 0.933276699669967
10, 1000, 0.01, 0.007, 1.4285714285714286, 9, 0.6210228291968807, 0.9212005620562056
10, 1000, 0.01, 0.007, 1.4285714285714286, 10, 0.6173283463308119, 0.912517101710171
10, 1000, 0.01, 0.008, 1.25, 1, 0.9900534376488984, 0.7947640884088408
10, 1000, 0.01, 0.008, 1.25, 2, 0.8610246478079511, 0.8955220582058205
10, 1000, 0.01, 0.008, 1.25, 3, 0.6668826932102713, 0.9933182858285828
10, 1000, 0.01, 0.008, 1.25, 4, 0.6946058079495503, 0.98356499849985
10, 1000, 0.01, 0.008, 1.25, 5, 0.6687798034689992, 0.9867773777377737
10, 1000, 0.01, 0.008, 1.25, 6, 0.653019029938745, 0.9546417381738174
10, 1000, 0.01, 0.008, 1.25, 7, 0.6513746946893987, 0.926183592359236
10, 1000, 0.01, 0.008, 1.25, 8, 0.6448421615722268, 0.911363194319432
10, 1000, 0.01, 0.008, 1.25, 9, 0.6414265338700722, 0.9009061226122611
10, 1000, 0.01, 0.008, 1.25, 10, 0.6374609378096971, 0.8946392199219921
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 1, 0.9888251248402758, 0.7938775817581758
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 2, 0.878526576837889, 0.8997988618861885
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 3, 0.6695881170480822, 0.9961544614461445
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 4, 0.7291490785918929, 0.9808899729972997
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 5, 0.6918666977379322, 0.9861623802380238
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 6, 0.6853531114493685, 0.9497433403340334
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 7, 0.6472928035380346, 0.9276436943694369
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 8, 0.6416988799020481, 0.9144065766576658
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 9, 0.6474419269320757, 0.9039790939093908
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 10, 0.637548351424552, 0.8955723952395239
10, 1000, 0.01, 0.01, 1.0, 1, 0.9843867060056265, 0.7939829802980298
10, 1000, 0.01, 0.01, 1.0, 2, 0.8625682685218192, 0.9016746134613461
10, 1000, 0.01, 0.01, 1.0, 3, 0.6705970815713773, 0.9991177097709769
10, 1000, 0.01, 0.01, 1.0, 4, 0.6986363257818282, 0.9887022122212221
10, 1000, 0.01, 0.01, 1.0, 5, 0.704094229705875, 0.9894977477747775
10, 1000, 0.01, 0.01, 1.0, 6, 0.6880047488837294, 0.955359793979398
10, 1000, 0.01, 0.01, 1.0, 7, 0.6673496924767364, 0.9286161936193619
10, 1000, 0.01, 0.01, 1.0, 8, 0.6573791050692341, 0.9122090849084907
10, 1000, 0.01, 0.01, 1.0, 9, 0.6451552020937769, 0.9029517411741175
10, 1000, 0.01, 0.01, 1.0, 10, 0.6515325019705397, 0.8941417181718171
